GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-06-30 15:45:46.444365+00:00,G02,20408968.094999958,13801077.120478366,-9831422.140376946,23322533.732184395,45.0,2024-06-30 15:45:46.444365+00:00,4417293.233496889,3124238.1744719343,3367572.60730051,32.07168384129827,35.270789609486265,758.6229736721143
2024-06-30 15:45:46.444365+00:00,G03,12292707.908169707,17931435.95033429,15180059.151957978,20513648.565018285,41.7,2024-06-30 15:45:47.444365+00:00,4417293.603065771,3124236.146482457,3367576.079628678,32.071714535130745,35.27076981593415,759.730065247044
2024-06-30 15:45:46.444365+00:00,G04,14229838.709405323,7820602.845185661,21061563.794619758,20770614.19562663,47.5,2024-06-30 15:45:48.444365+00:00,4417275.44891724,3124226.227525068,3367568.542919594,32.07175533512059,35.270795070471806,738.3151154760271
2024-06-30 15:45:46.444365+00:00,G06,14248260.004942894,-8636697.697688773,20771726.416068014,23192037.4688844,39.4,2024-06-30 15:45:49.444365+00:00,4417283.97055089,3124235.305351286,3367572.4669031585,32.071726909373986,35.270821446270894,750.7361231036484
2024-06-30 15:45:46.444365+00:00,G07,25194079.3500143,5283106.365054111,-6927263.886006078,23287725.855426177,44.6,2024-06-30 15:45:50.444365+00:00,4417285.343639404,3124237.82309391,3367576.4187740344,32.071744776977766,35.27083481784171,755.016405028291
2024-06-30 15:45:46.444365+00:00,G09,21560376.54180994,-3687849.774292242,15019131.603018638,21818510.12044337,49.3,2024-06-30 15:45:51.444365+00:00,4417290.776372978,3124241.3295518453,3367577.529975121,32.071722336808726,35.270831913004756,761.0807286193594
2024-06-30 15:45:46.444365+00:00,G16,77039.81519991206,26265480.36918712,1270741.700648144,23637923.42284801,31.9,2024-06-30 15:45:52.444365+00:00,4417291.698797182,3124232.156322695,3367577.1546351304,32.07174122449099,35.27074696221798,757.0309968339279
2024-06-30 15:45:46.444365+00:00,G17,22851984.3392969,-13480484.201300953,-2077564.186802061,25400871.91977025,38.7,2024-06-30 15:45:53.444365+00:00,4417295.28273032,3124237.223404745,3367571.8207650967,32.07167245051649,35.27076885572441,759.1576932463795
2024-06-30 15:45:46.444365+00:00,G21,16615737.167992633,15579850.489504743,-14039671.259118663,24636451.356540617,42.0,2024-06-30 15:45:54.444365+00:00,4417294.208180643,3124233.0059433193,3367572.5216592294,32.0716936663892,35.27073896309924,756.7227807985619
2024-06-30 15:45:46.444365+00:00,G26,-6262401.33595161,21356393.130019017,14065403.150932098,23683533.063241314,43.5,2024-06-30 15:45:55.444365+00:00,4417293.044555815,3124233.9552996457,3367578.3812705027,32.07174036288809,35.27075428660581,759.4936200585216
2024-06-30 15:45:46.444365+00:00,G31,-5609056.812070133,14202853.419268057,21506872.358909182,23500984.619276136,45.4,2024-06-30 15:45:56.444365+00:00,4417292.241083833,3124232.1420614403,3367571.0822192607,32.07169274548322,35.270743522850935,754.1748562250286
2024-06-30 15:45:47.444365+00:00,G02,20407656.31310632,13800882.969523914,-9834250.2138532,23323145.610947687,41.2,2024-06-30 15:45:57.444365+00:00,4417292.9910847135,3124228.462615982,3367569.765572937,32.07168992598712,35.27070712471687,752.1942136362195
2024-06-30 15:45:47.444365+00:00,G03,12292795.223634835,17933386.100637,15177721.212049872,20513743.604050543,44.0,2024-06-30 15:45:58.444365+00:00,4417292.1668171445,3124229.710184622,3367565.851934772,32.07165979515462,35.27072295136949,750.1563487732783
2024-06-30 15:45:47.444365+00:00,G04,14227694.33396811,7822188.529007638,21062410.95146394,20770683.449201506,46.9,2024-06-30 15:45:59.444365+00:00,4417286.898697062,3124205.1226267233,3367558.4960613227,32.071692159909276,35.27054258497007,730.5748542323709
2024-06-30 15:45:47.444365+00:00,G06,14250626.585992727,-8635587.927179486,20770571.39359374,23191614.154890463,40.8,2024-06-30 15:46:00.444365+00:00,4417280.51421208,3124204.099534588,3367561.6366973044,32.071743942732155,35.27057278033903,727.3248579129577
2024-06-30 15:45:47.444365+00:00,G07,25194837.434464708,5283722.697614889,-6924307.661777457,23287160.148166742,44.6,2024-06-30 15:46:01.444365+00:00,4417292.193175481,3124210.7179930666,3367561.3698945376,32.07167795304904,35.270558586348095,738.5015817470849
2024-06-30 15:45:47.444365+00:00,G09,21559002.5877719,-3686492.0176504273,15021418.969034435,21818230.4196965,47.1,2024-06-30 15:46:02.444365+00:00,4417282.86655738,3124204.1463604234,3367556.921137847,32.0716985867368,35.270558800668105,726.4713318375871
2024-06-30 15:45:47.444365+00:00,G16,76713.83034994965,26265288.58428905,1273943.4533095814,23637509.410910785,30.3,2024-06-30 15:46:03.444365+00:00,4417288.871008672,3124208.9866577713,3367562.3730053413,32.07170339066595,35.27056393233995,735.8886629147455
2024-06-30 15:45:47.444365+00:00,G17,22851859.115758445,-13480106.592706157,-2080732.0891158108,25401211.88293547,33.9,2024-06-30 15:46:04.444365+00:00,4417307.086786691,3124226.8434097734,3367569.1027199575,32.07163423817683,35.27060693077441,760.8018271056935
2024-06-30 15:45:47.444365+00:00,G21,16613958.334649203,15579449.183822175,-14042044.851497378,24637062.931390647,35.6,2024-06-30 15:46:05.444365+00:00,4417303.227749179,3124228.924759263,3367567.0436600535,32.07162783566841,35.27064852357844,758.0571292033419
2024-06-30 15:45:47.444365+00:00,G26,-6263078.5249538645,21354659.88570937,14067744.939459965,23683569.33590466,42.1,2024-06-30 15:46:06.444365+00:00,4417308.119410043,3124226.18012471,3367566.786744672,32.07161433935319,35.27059488169147,759.9619427546859
