GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-06-30 15:32:53.444383+00:00,G02,21315744.7226564,13938075.99261988,-7587315.022267394,22861229.919131063,48.0,2024-06-30 15:32:53.444383+00:00,4419190.059802485,3118340.822320717,3370447.8811065676,32.10252799910029,35.208181624874776,715.6148742297664
2024-06-30 15:32:53.444383+00:00,G03,12254553.682199432,16337488.533882575,16886375.903347213,20465146.156410724,42.8,2024-06-30 15:32:54.444383+00:00,4419184.788237768,3118337.3745806147,3370447.740931748,32.102557093894504,35.20818397974665,710.207905003801
2024-06-30 15:32:53.444383+00:00,G04,15884295.082744367,6653126.481019654,20274744.64804789,20729245.68323056,43.0,2024-06-30 15:32:55.444383+00:00,4419201.038786768,3118354.7095242986,3370451.4299178435,32.10247375191681,35.20823476958013,731.8821808788925
2024-06-30 15:32:53.444383+00:00,G06,12405211.613764426,-9556164.09077081,21531618.98853788,23542544.525533013,50.2,2024-06-30 15:32:56.444383+00:00,4419190.347286198,3118350.4386996045,3370435.2150356662,32.102403557641004,35.208263103215316,713.7792446669191
2024-06-30 15:32:53.444383+00:00,G07,24519375.77152954,4746119.528729673,-9163966.726561047,23744076.494110703,43.6,2024-06-30 15:32:57.444383+00:00,4419181.145066224,3118347.59003897,3370441.0082129473,32.10249170799187,35.20829465047591,709.0975144430995
2024-06-30 15:32:53.444383+00:00,G09,22573827.18161538,-4659959.357811672,13158995.938895311,22043394.40473958,42.7,2024-06-30 15:32:58.444383+00:00,4419191.927743634,3118364.327186326,3370442.570307719,32.102415180365966,35.20837366130765,725.5650559980422
2024-06-30 15:32:53.444383+00:00,G16,324244.180517233,26297309.779361963,-1207138.8080557769,23978948.252565328,37.3,2024-06-30 15:32:59.444383+00:00,4419208.393434346,3118352.0908207516,3370441.4158853646,32.10237570069499,35.2081671843584,730.3718134984374
2024-06-30 15:32:53.444383+00:00,G17,22854646.643099017,-13706305.917100772,379193.97008942993,25137347.07818928,37.1,2024-06-30 15:33:00.444383+00:00,4419197.206981217,3118346.7692926875,3370442.947970805,32.10244590421855,35.208189446491474,720.8444938110188
2024-06-30 15:32:53.444383+00:00,G19,18638828.66106861,-16483217.72813886,8518711.74509132,24757368.617184635,39.7,2024-06-30 15:33:01.444383+00:00,4419175.221000457,3118342.172212245,3370433.940821421,32.10247588809154,35.20828393868956,698.5953766824678
2024-06-30 15:32:53.444383+00:00,G21,17894412.133244537,15891644.254232002,-12121582.58851078,24181552.749821544,33.3,2024-06-30 15:33:02.444383+00:00,4419225.0914188,3118381.46765663,3370454.4237064393,32.10232851860898,35.20831946843629,763.1893488001078
2024-06-30 15:32:53.444383+00:00,G26,-5781450.112522602,22616384.579890937,12167301.784985578,23698415.883954477,34.9,2024-06-30 15:33:03.444383+00:00,4419208.628775038,3118371.292872483,3370453.736929853,32.1024158398276,35.2083319487797,746.460715061985
2024-06-30 15:32:54.444383+00:00,G02,21314710.845797192,13937920.934133189,-7590286.702302226,22861801.02764188,49.6,2024-06-30 15:33:04.444383+00:00,4419195.690673637,3118348.2092446946,3370442.889086379,32.10244741298701,35.208211170935535,720.4669787185267
2024-06-30 15:32:54.444383+00:00,G03,12254561.055667954,16339657.433404995,16884303.49307716,20465180.6366436,44.3,2024-06-30 15:33:05.444383+00:00,4419188.790783377,3118342.792811671,3370445.9253773945,32.10251258515896,35.20820643107442,714.6595762390643
2024-06-30 15:32:54.444383+00:00,G04,15882165.046216397,6654559.498561993,20275930.613460287,20729278.662165303,43.5,2024-06-30 15:33:06.444383+00:00,4419175.799452064,3118344.0250930213,3370447.1818072037,32.10256964321356,35.20829644327631,706.9374144971371
2024-06-30 15:32:54.444383+00:00,G06,12407606.854731124,-9554896.454836195,21530809.574360244,23542039.969869114,46.6,2024-06-30 15:33:07.444383+00:00,4419186.774730225,3118357.025148188,3370452.098446088,32.10252830924121,35.2083419316932,723.4957932773978
2024-06-30 15:32:54.444383+00:00,G07,24520359.114451863,4746895.574083722,-9161141.930578118,23743485.006335832,44.1,2024-06-30 15:33:08.444383+00:00,4419199.025698222,3118352.5493623344,3370435.7564623305,32.102367883052985,35.208228367576105,721.104430526495
2024-06-30 15:32:54.444383+00:00,G09,22572584.63316606,-4658801.221120245,13161515.895554071,22043077.22746884,41.8,2024-06-30 15:33:09.444383+00:00,4419210.260797738,3118364.2632537186,3370456.4408892784,32.10244952501265,35.20826113684026,745.5940325623378
2024-06-30 15:32:54.444383+00:00,G16,323925.4301360062,26297418.766963277,-1203936.4759884528,23978495.568764318,37.7,2024-06-30 15:33:10.444383+00:00,4419204.492410053,3118369.7097881087,3370447.0692767124,32.102385479180015,35.20834350981635,739.2812130944803
2024-06-30 15:32:54.444383+00:00,G17,18639944.133543126,-16483496.173479397,8515750.813143086,24757610.251985632,39.2,2024-06-30 15:33:11.444383+00:00,4419196.823325565,3118363.1213141745,3370463.2068299414,32.10255697226455,35.20833332362016,739.3314760569483
2024-06-30 15:32:54.444383+00:00,G19,17892884.459211163,15891243.859654505,-12124166.040706271,24182142.74093351,33.2,2024-06-30 15:33:12.444383+00:00,4419188.188110749,3118352.1551998667,3370445.495442179,32.10248579430731,35.20829114772286,718.5865056328475
2024-06-30 15:32:54.444383+00:00,G21,-5782020.38553872,22614862.26801197,12169865.38071715,23698353.82464085,35.4,2024-06-30 15:33:13.444383+00:00,4419203.150734943,3118348.888266582,3370442.6045590173,32.102414155049274,35.20817148509999,725.8107572710142
