GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-07-01 08:45:06.432855+00:00,G26,25897314.878781684,4835766.409699608,-4837629.890987562,22739994.61881235,39.9,2024-07-01 08:45:48.432857+00:00,4437803.671227101,3094157.20026015,3367119.8378968774,32.07062838496662,34.8852552844302,92.70008086413145
2024-07-01 08:45:06.432855+00:00,G27,16082328.324233389,538802.0546264118,20912537.165267136,20911990.01781934,33.3,2024-07-01 08:45:49.432857+00:00,4437785.274811947,3094185.907140872,3367120.7078511906,32.07062867416535,34.88561610889147,94.28734240494668
2024-07-01 08:45:06.432855+00:00,G32,15453991.328859538,19503867.242469,-9349608.468765292,23202587.44177912,36.4,2024-07-01 08:45:51.432857+00:00,4437769.58951654,3094238.582591851,3367116.122651318,32.0705109864738,34.8861687375057,106.47954051475972
2024-07-01 08:45:06.432855+00:00,G10,10980498.74134028,-11767897.209862208,20946528.49918978,23630924.419261266,34.8,2024-07-01 08:45:52.432857+00:00,4437742.695598992,3094251.9860417284,3367107.0309568252,32.07051043431974,34.88644808566755,89.45421340502799
2024-07-01 08:45:06.432855+00:00,G16,21516563.55453816,10741187.585823704,11838057.336893098,20240518.181352284,37.5,2024-07-01 08:45:53.432857+00:00,4437734.940800788,3094276.0984365605,3367110.2067473326,32.07049912657371,34.886704534440454,97.43660536501557
2024-07-01 08:45:06.432855+00:00,G18,-9401806.246742489,13399618.301578289,20381708.01393248,23933736.672608443,33.9,2024-07-01 08:45:54.432858+00:00,4437730.143172894,3094297.9944100045,3367099.8324157656,32.07037872646108,34.88692381470739,99.20579284708947
2024-07-01 08:45:06.432855+00:00,G23,25277096.0561423,-542628.6327605015,8504498.191312289,21468420.98791136,30.5,2024-07-01 08:45:55.432858+00:00,4437712.565947861,3094327.868368452,3367097.3774215435,32.07034718868582,34.88728981395776,100.16355910524726
2024-07-01 08:45:06.432855+00:00,G26,25897314.878781684,4835766.409699608,-4837629.890987562,22739994.61881235,39.9,2024-07-01 08:45:56.432858+00:00,4437702.9231064785,3094350.590715299,3367094.693606192,32.07030232400413,34.88754562181783,103.04892967175692
2024-07-01 08:45:06.432855+00:00,G27,16082328.324233389,538802.0546264118,20912537.165267136,20911990.01781934,33.3,2024-07-01 08:45:57.432858+00:00,4437685.305580056,3094366.9954492757,3367082.7344845044,32.07023520220986,34.887794853628805,92.40433730836958
2024-07-01 08:45:06.432855+00:00,G32,15453991.328859538,19503867.242469,-9349608.468765292,23202587.44177912,36.4,2024-07-01 08:45:58.432858+00:00,4437677.157193819,3094392.4751448645,3367078.5275638285,32.0701652760442,34.888065561935655,96.85644528921694
2024-07-01 08:45:06.432855+00:00,G10,10980498.74134028,-11767897.209862208,20946528.49918978,23630924.419261266,34.8,2024-07-01 08:45:59.432858+00:00,4437662.949762973,3094413.8978186394,3367065.423288731,32.07006226573676,34.88833772884127,90.4065329991281
2024-07-01 08:45:06.432855+00:00,G16,21516563.55453816,10741187.585823704,11838057.336893098,20240518.181352284,37.5,2024-07-01 08:46:00.432858+00:00,4437652.060559978,3094441.9178133104,3367069.302222409,32.07005793666502,34.88864710693845,98.47825409285724
2024-07-01 08:45:06.432855+00:00,G18,-9401806.246742489,13399618.301578289,20381708.01393248,23933736.672608443,33.9,2024-07-01 08:46:01.432858+00:00,4437642.915845743,3094469.5418282533,3367061.6188187245,32.06995948255,34.888942476663324,101.43167193979025
2024-07-01 08:45:06.432855+00:00,G23,25277096.0561423,-542628.6327605015,8504498.191312289,21468420.98791136,30.5,2024-07-01 08:46:02.432858+00:00,4437631.571455088,3094485.4860198214,3367048.427259192,32.06985956286405,34.889149706965924,94.27040576189756
2024-07-01 08:45:06.432855+00:00,G26,25897314.878781684,4835766.409699608,-4837629.890987562,22739994.61881235,39.9,2024-07-01 08:46:03.432858+00:00,4437623.243786669,3094512.0826198272,3367042.83731895,32.069776710448856,34.88943120077489,98.40551720932126
2024-07-01 08:45:06.432855+00:00,G27,16082328.324233389,538802.0546264118,20912537.165267136,20911990.01781934,33.3,2024-07-01 08:46:04.432858+00:00,4437613.572755221,3094544.4936419055,3367037.8215279896,32.06968759663138,34.88977134149141,104.73017450142652
2024-07-01 08:45:06.432855+00:00,G32,15453991.328859538,19503867.242469,-9349608.468765292,23202587.44177912,36.4,2024-07-01 08:46:05.432858+00:00,4437598.041814314,3094568.45000679,3367026.3602037746,32.06959539621512,34.8900735342105,99.46150388289243
2024-07-01 08:45:06.432855+00:00,G10,10980498.74134028,-11767897.209862208,20946528.49918978,23630924.419261266,34.8,2024-07-01 08:46:06.432858+00:00,4437582.958776467,3094581.4260001634,3367013.2943674847,32.06951924753836,34.89027762759152,88.3299702545628
2024-07-01 08:45:06.432855+00:00,G16,21516563.55453816,10741187.585823704,11838057.336893098,20240518.181352284,37.5,2024-07-01 08:46:07.432858+00:00,4437575.240609244,3094615.1425390975,3367009.6705263304,32.06942952343589,34.89061727677135,97.38434029556811
2024-07-01 08:45:06.432855+00:00,G18,-9401806.246742489,13399618.301578289,20381708.01393248,23933736.672608443,33.9,2024-07-01 08:46:08.432858+00:00,4437565.453736736,3094643.1543691135,3367006.4146654373,32.0693663595519,34.8909199005817,102.43110882490873
2024-07-01 08:45:06.432855+00:00,G23,25277096.0561423,-542628.6327605015,8504498.191312289,21468420.98791136,30.5,2024-07-01 08:46:09.432858+00:00,4437547.2497085845,3094659.929604608,3366995.331522907,32.06930721232052,34.89117590456882,92.02483958005905
2024-07-01 08:45:06.432855+00:00,G26,25897314.878781684,4835766.409699608,-4837629.890987562,22739994.61881235,39.9,2024-07-01 08:46:10.432858+00:00,4437541.757843578,3094688.196728467,3366994.194794338,32.06924267422331,34.89145472565975,101.30610078759491
2024-07-01 08:45:06.432855+00:00,G27,16082328.324233389,538802.0546264118,20912537.165267136,20911990.01781934,33.3,2024-07-01 08:46:11.432859+00:00,4437527.658288428,3094714.073124474,3366985.515113696,32.069160846181994,34.89176492412427,99.44074798282236
2024-07-01 08:45:06.432855+00:00,G32,15453991.328859538,19503867.242469,-9349608.468765292,23202587.44177912,36.4,2024-07-01 08:46:12.432859+00:00,4437512.154434149,3094728.5151799265,3366982.8606662233,32.06916189415936,34.891984302742586,94.25577124487609
