GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-06-26 16:09:28.446769+00:00,G26,-6567274.410681505,20580595.06387887,15053835.823055193,23613556.41120235,28.1,,,,,,,
2024-06-26 16:09:28.446769+00:00,G31,-6790580.453573843,13703045.704387696,21509048.155384123,23654521.46910179,28.3,,,,,,,
2024-06-26 16:09:29.446769+00:00,G02,19780719.40575213,13720112.006576972,-11074994.082573226,23782021.6916038,27.5,,,,,,,
2024-06-26 16:09:29.446769+00:00,G03,12332975.285346596,18779748.217822045,14100612.56725927,20553782.39691554,27.9,,,,,,,
2024-06-26 16:09:29.446769+00:00,G04,13253353.755042853,8567604.734308958,21399676.773042902,20718915.09734859,27.9,,,,,,,
2024-06-26 16:09:29.446769+00:00,G06,15275440.244885083,-8175181.995807228,20223672.067787956,22921719.00185605,27.4,,,,,,,
2024-06-26 16:09:29.446769+00:00,G07,25496672.516439795,5515326.30974501,-5636500.576444143,23204497.71209083,28.4,,,,,,,
2024-06-26 16:09:29.446769+00:00,G09,20949671.85408796,-3084713.0444342624,15981427.745295657,21670815.11690045,27.8,,,,,,,
2024-06-26 16:09:29.446769+00:00,G16,-28272.81471137353,26149726.26003853,2618383.197749296,23493788.146067634,28.5,,,,,,,
2024-06-26 16:09:29.446769+00:00,G17,22778811.11154893,-13256619.170055984,-3519602.3829709045,25638639.74858627,27.2,,,,,,,
2024-06-26 16:09:29.446769+00:00,G19,19753772.241672684,-16711293.678904483,4779351.672224227,25129330.0443644,27.8,,,,,,,
2024-06-26 16:09:29.446769+00:00,G21,15794940.5089896,15405770.510584706,-15061587.467532467,25085272.068915226,27.3,,,,,,,
2024-06-26 16:09:29.446769+00:00,G26,-6568019.39789858,20578756.37634951,15056039.14100007,23613610.068679195,27.9,,,,,,,
2024-06-26 16:09:29.446769+00:00,G31,-6793157.539264655,13701992.45029464,21508945.14768079,23655187.910435647,28.0,,,,,,,
2024-06-26 16:09:30.446769+00:00,G02,19779250.196337987,13719909.050594363,-11077722.148973906,23782647.96461545,27.9,,,,,,,
